Tempo,SP,PV_Ideal,Sinal_Controle_Ideal
57,40,40.0355206190722,39.9662921039003
57.1,40,40.0485846507933,39.9550635241106
57.2,40,40.0472028060015,39.9554137550481
57.3,40,40.0626743608204,39.9420337214198
57.4,40,40.0618239555735,39.9417248623282
57.5,40,40.0471975286753,39.952670843388
57.6,40,40.0236087264912,39.9711641455114
57.7,40,40.0192693030795,39.9743273753914
57.8,40,40.0254439453091,39.9689805584828
57.9,40,40.0274684424507,39.9669214656903
58,40,40.0303645492145,39.9641187474918
58.1,40,40.0233392643668,39.9693655471402
58.2,40,40.0236962265162,39.9687008377964
58.3,40,40.0063833671278,39.9824489914331
58.4,40,39.9983840395458,39.9888743088659
58.5,40,39.9900891394654,39.9956688026988
58.6,40,39.9953452849528,39.9915383617496
58.7,40,39.9951297088447,39.9917887472946
58.8,40,39.983623046111,40.0012561087438
58.9,40,39.9838779011571,40.0013101782884
59,40,39.9773935014655,40.0068594020182
59.1,40,39.9713762015154,40.012131222754
59.2,40,39.9807388575055,40.0049492762419
59.3,40,39.9823411835713,40.0039499564521
59.4,40,39.9867131223723,40.0006649954534
59.5,40,39.9957412762609,39.9935106119223
59.6,40,39.9974817768914,39.9921585029877
59.7,40,40.0028301941816,39.9878344860486
59.8,40,40.0092950586414,39.9825138735425
59.9,40,40.0203545578997,39.9733406012094
60,40,40.0241349546587,39.9699301245277
60.1,40,40.0370436675045,39.959010455571
60.2,40,40.035722345374,39.9594959557494
60.3,40,40.0337390228152,39.9605427894314
60.4,40,40.0491339819372,39.9474406784228
60.5,40,40.0420738355398,39.9524156141721
60.6,40,40.0402702178085,39.9532141848722
60.7,40,40.0476536871406,39.9465449504123
60.8,40,40.0471348058412,39.9462058985583
60.9,40,40.0590460526454,39.9357321642727
61,40,40.0668427632787,39.9284253115536
61.1,40,40.066988653368,39.9272367810282
61.2,40,40.0565216494748,39.9347060377511
61.3,40,40.0597202060323,39.9311916692086
61.4,40,40.0434863038494,39.9434830100934
61.5,40,40.0439265674191,39.9424279741589
61.6,40,40.0499208410415,39.9368338218043
61.7,40,40.0497908221637,39.936141183752
61.8,40,40.0562497960017,39.9300740079455
61.9,40,40.0739375753723,39.9147407832431
62,40,40.0799328118123,39.9086656691021
62.1,40,40.0791841549478,39.9079976481146
62.2,40,40.0821473095581,39.9043127674734
62.3,40,40.0828385369579,39.9024343689622
62.4,40,40.0662496602887,39.914645475733
62.5,40,40.0591249490022,39.9193992455781
62.6,40,40.0684834165592,39.9108167368676
62.7,40,40.0649298945796,39.912620676138
62.8,40,40.0676803467821,39.9093374288275
62.9,40,40.054579928537,39.918944484567
63,40,40.0525329253456,39.9197415603146
63.1,40,40.0558467686431,39.9161969373782
63.2,40,40.0396016155021,39.928559434043
63.3,40,40.0408442306211,39.9269118342579
63.4,40,40.0367878495319,39.9295683335367
63.5,40,40.0253627434478,39.9383026145088
63.6,40,40.0232672339259,39.9396067463836
63.7,40,40.0028359728867,39.9559063796487
